Date,Open,High,Low,Close,Adj Close,Volume
2024-04-16,7.020000,7.180000,6.720000,7.070000,7.070000,6188100
2024-04-17,7.120000,7.220000,6.830000,6.880000,6.880000,4372700
2024-04-18,6.850000,7.000000,6.800000,6.830000,6.830000,3479500
2024-04-19,6.800000,6.890000,6.670000,6.790000,6.790000,4221200
2024-04-22,6.710000,6.780000,6.610000,6.660000,6.660000,5044700
2024-04-23,6.600000,6.790000,6.550000,6.740000,6.740000,5048200
2024-04-24,6.770000,6.830000,6.600000,6.620000,6.620000,3033700
2024-04-25,6.500000,6.700000,6.470000,6.660000,6.660000,5578900
2024-04-26,6.650000,7.000000,6.550000,6.910000,6.910000,4685100
2024-04-29,6.970000,7.280000,6.910000,7.240000,7.240000,8463000
2024-04-30,7.150000,7.200000,6.740000,6.750000,6.750000,6728000
2024-05-01,7.280000,7.580000,6.780000,6.840000,6.840000,11250700
2024-05-02,6.920000,7.260000,6.850000,7.120000,7.120000,5966100
2024-05-03,7.230000,7.290000,6.990000,7.210000,7.210000,4839800
2024-05-06,7.250000,7.390000,7.150000,7.370000,7.370000,6100500
2024-05-07,7.380000,7.520000,7.270000,7.290000,7.290000,4667800
2024-05-08,7.180000,7.200000,6.910000,7.040000,7.040000,4764600
2024-05-09,7.000000,7.290000,6.970000,7.270000,7.270000,5089000
2024-05-10,7.310000,7.340000,7.080000,7.080000,7.080000,4029700
2024-05-13,7.100000,7.150000,6.900000,6.900000,6.900000,3215000
2024-05-14,6.970000,7.130000,6.890000,6.940000,6.940000,4304400
2024-05-15,7.070000,7.070000,6.890000,6.980000,6.980000,4217700
2024-05-16,6.980000,7.150000,6.980000,6.980000,6.980000,4033200
2024-05-17,7.090000,7.490000,7.060000,7.420000,7.420000,13334500
2024-05-20,7.570000,7.730000,7.390000,7.530000,7.530000,9191500
2024-05-21,7.440000,7.540000,7.360000,7.410000,7.410000,5181500
2024-05-22,7.390000,7.440000,7.050000,7.060000,7.060000,5585800
2024-05-23,7.130000,7.190000,7.010000,7.040000,7.040000,4818900
2024-05-24,7.160000,7.330000,7.100000,7.260000,7.260000,3310700
2024-05-28,7.440000,7.570000,7.310000,7.490000,7.490000,5722600
2024-05-29,7.400000,7.450000,7.130000,7.280000,7.280000,5754900
2024-05-30,7.280000,7.480000,7.220000,7.270000,7.270000,3906600
2024-05-31,7.360000,7.520000,7.070000,7.140000,7.140000,7473100
2024-06-03,7.150000,7.210000,6.800000,6.940000,6.940000,6493300
